성별,구매일자,대분류코드,구매금액
M,201401,4,16595406
M,201401,5,21804126
M,201401,6,16798875
M,201401,7,15466362
M,201401,8,31134685
M,201401,9,9745299
M,201401,10,38846970
M,201401,11,32577390
M,201401,12,146118650
M,201401,13,33505050
M,201401,14,35833200
M,201401,15,15163590
M,201401,16,24977710
M,201401,17,58928330
M,201401,18,18797860
M,201401,19,56529870
M,201401,20,20599650
M,201401,21,8315700
M,201401,22,10279300
M,201401,23,4224730
M,201401,24,6697770
M,201401,25,2016789
M,201401,26,22956230
M,201401,27,4176200
M,201401,28,3365770
M,201401,29,17691910
M,201401,30,13006560
M,201401,31,15887200
M,201401,32,1607070
M,201401,33,11695550
M,201401,34,47850340
M,201401,35,5436100
M,201401,36,1471770
M,201401,37,6907900
M,201401,38,13474711
M,201401,39,7464800
M,201401,40,626800
M,201401,41,3448100
M,201401,42,1966500
M,201401,43,30309984
M,201401,44,2999800
M,201401,45,34399350
M,201401,46,33952820
M,201401,47,15660050
M,201401,48,24055318
M,201401,49,947200
M,201401,50,1384900
M,201401,51,9417900
M,201401,52,52650697
M,201401,53,9337737
M,201401,54,10176814
M,201401,55,13289348
M,201401,56,3107782
M,201401,57,3011794
M,201401,58,691218
M,201401,59,2600647
M,201401,60,502214
M,201401,61,2491378
M,201401,62,5689540
M,201401,63,7716060
M,201402,4,17349435
M,201402,5,17463638
M,201402,6,9956296
M,201402,7,9256107
M,201402,8,31453371
M,201402,9,3348672
M,201402,10,35651190
M,201402,11,11809100
M,201402,12,338756620
M,201402,13,18141560
M,201402,14,32784925
M,201402,15,12901760
M,201402,16,14579640
M,201402,17,35852420
M,201402,18,18040650
M,201402,19,35468320
M,201402,20,16723920
M,201402,21,7970420
M,201402,22,9044710
M,201402,23,4777800
M,201402,24,7240990
M,201402,25,1935417
M,201402,26,25281260
M,201402,27,4002270
M,201402,28,2098800
M,201402,29,14730690
M,201402,30,10093280
M,201402,31,12663840
M,201402,32,1253760
M,201402,33,9683270
M,201402,34,35635330
M,201402,35,3339740
M,201402,36,2080700
M,201402,37,5833200
M,201402,38,11138806
M,201402,39,10398900
M,201402,40,1443900
M,201402,41,3901800
M,201402,42,4083800
M,201402,43,23187560
M,201402,44,3854700
M,201402,45,26823300
M,201402,46,19624293
M,201402,47,11563860
M,201402,48,17789827
M,201402,49,573500
M,201402,50,895900
M,201402,51,10084100
M,201402,52,26485002
M,201402,53,11029379
M,201402,54,8026668
M,201402,55,7344041
M,201402,56,3329175
M,201402,57,1976004
M,201402,58,749609
M,201402,59,2391916
M,201402,60,568490
M,201402,61,2652350
M,201402,62,5710700
M,201402,63,3397624
M,201403,4,26537739
M,201403,5,22258162
M,201403,6,12066782
M,201403,7,11718814
M,201403,8,34843146
M,201403,9,3659580
M,201403,10,40522190
M,201403,11,14193310
M,201403,12,180745270
M,201403,13,104114230
M,201403,14,42341620
M,201403,15,15451060
M,201403,16,15560720
M,201403,17,47865860
M,201403,18,21320280
M,201403,19,42374520
M,201403,20,18916940
M,201403,21,9630600
M,201403,22,10396780
M,201403,23,5211260
M,201403,24,11832720
M,201403,25,1905168
M,201403,26,25329320
M,201403,27,5619390
M,201403,28,3103060
M,201403,29,25527060
M,201403,30,9302590
M,201403,31,21773880
M,201403,32,2032530
M,201403,33,12646570
M,201403,34,38886790
M,201403,35,5765300
M,201403,36,3566590
M,201403,37,6244950
M,201403,38,12239904
M,201403,39,3174000
M,201403,40,680000
M,201403,41,1969500
M,201403,42,3211800
M,201403,43,28129000
M,201403,44,4931390
M,201403,45,17001650
