성별,구매일자,대분류코드,구매금액
M,20140101,1,985268
M,20140101,2,381300
M,20140101,3,662518
M,20140101,4,483219
M,20140101,5,898471
M,20140101,6,227174
M,20140101,7,554090
M,20140101,8,194530
M,20140101,9,231530
M,20140101,10,252520
M,20140101,11,341080
M,20140101,12,662420
M,20140101,13,483050
M,20140101,14,279510
M,20140101,15,989888
M,20140101,16,553280
M,20140101,17,398150
M,20140102,1,716772
M,20140102,2,268490
M,20140102,3,713601
M,20140102,4,380089
M,20140102,5,817345
M,20140102,6,221986
M,20140102,7,659780
M,20140102,8,284410
M,20140102,9,133090
M,20140102,10,168980
M,20140102,11,314130
M,20140102,12,482110
M,20140102,13,345690
M,20140102,14,200170
M,20140102,15,758330
M,20140102,16,717690
M,20140102,17,245080
M,20140103,1,1712148
M,20140103,2,4996140
M,20140103,3,2060623
M,20140103,4,3385138
M,20140103,5,2379634
M,20140103,6,422752
M,20140103,7,926300
M,20140103,8,509450
M,20140103,9,487180
M,20140103,10,452950
M,20140103,11,681520
M,20140103,12,665700
M,20140103,13,11189130
M,20140103,14,11628530
M,20140103,15,3572800
M,20140103,16,3919310
M,20140103,17,1395940
M,20140104,1,935223
M,20140104,2,216490
M,20140104,3,843511
M,20140104,4,633221
M,20140104,5,675308
M,20140104,6,253690
M,20140104,7,507870
M,20140104,8,237340
M,20140104,9,282240
M,20140104,10,131990
M,20140104,11,456780
M,20140104,12,741220
M,20140104,13,659070
M,20140104,14,304350
M,20140104,15,724942
M,20140104,16,654140
M,20140104,17,368250
M,20140105,1,773134
M,20140105,2,427290
M,20140105,3,583776
M,20140105,4,586832
M,20140105,5,634588
M,20140105,6,247210
M,20140105,7,575880
M,20140105,8,283390
M,20140105,9,168860
M,20140105,10,192800
M,20140105,11,368690
M,20140105,12,455170
M,20140105,13,662190
M,20140105,14,210530
M,20140105,15,742367
M,20140105,16,720250
M,20140105,17,383180
M,20140106,1,944106
M,20140106,2,472240
M,20140106,3,1067755
M,20140106,4,418493
M,20140106,5,742201
M,20140106,6,207000
M,20140106,7,697750
M,20140106,8,425970
M,20140106,9,142160
M,20140106,10,137540
M,20140106,11,386770
M,20140106,12,451640
M,20140106,13,729330
M,20140106,14,346110
M,20140106,15,2871100
M,20140106,16,31675510
M,20140106,17,294020
M,20140107,1,923356
M,20140107,2,439290
M,20140107,3,1095941
