성별,구매일자,대분류코드,구매금액
M,201401,1,1581500
M,201401,2,409100
M,201401,3,265450
M,201401,4,1093360
M,201401,5,56700
M,201401,6,224300
M,201401,7,75900
M,201401,8,249700
M,201402,1,1905330
M,201402,2,400660
M,201402,3,178700
M,201402,4,900000
M,201402,5,53560
M,201402,6,79650
M,201402,7,320700
M,201402,8,310780
M,201403,1,2112800
M,201403,2,910830
M,201403,3,411600
M,201403,4,1346070
M,201403,5,86440
M,201403,6,142440
M,201403,7,120700
M,201403,8,256000
M,201404,1,2196340
M,201404,2,1356400
M,201404,3,242900
M,201404,4,788070
M,201404,5,130720
M,201404,6,272300
M,201404,7,359800
M,201404,8,273900
M,201405,1,2101340
M,201405,2,891480
M,201405,3,536800
M,201405,4,1009200
M,201405,5,211080
M,201405,6,69000
M,201405,7,141200
M,201405,8,219200
M,201406,1,1386900
M,201406,2,1365030
M,201406,3,546430
M,201406,4,854700
M,201406,5,108200
M,201406,6,140850
M,201406,7,174760
M,201406,8,830050
M,201407,1,2456950
M,201407,2,1151880
M,201407,3,950560
M,201407,4,750440
M,201407,5,247100
M,201407,6,421560
M,201407,7,32900
M,201407,8,465800
M,201408,1,1551180
M,201408,2,1374470
M,201408,3,541410
M,201408,4,966400
M,201408,5,204250
M,201408,6,113730
M,201408,7,249900
M,201408,8,419100
M,201409,1,2616049
M,201409,2,1409110
M,201409,3,714400
M,201409,4,947440
M,201409,5,423050
M,201409,6,102250
M,201409,7,191400
M,201409,8,534300
M,201410,1,1601820
M,201410,2,1119660
M,201410,3,592080
M,201410,4,1156630
M,201410,5,357650
M,201410,6,357440
M,201410,7,260200
M,201410,8,1724200
M,201411,1,3525270
M,201411,2,1573250
M,201411,3,529750
M,201411,4,1871640
M,201411,5,386710
M,201411,6,454760
M,201411,7,1046900
M,201411,8,4019900
M,201412,1,3689620
M,201412,2,1334880
M,201412,3,589030
M,201412,4,1833840
M,201412,5,802880
M,201412,6,316680
M,201412,7,648000
M,201412,8,1375960
M,201501,1,3401500
M,201501,2,2245190
M,201501,3,880950
M,201501,4,1454510
M,201501,5,161690
M,201501,6,470050
M,201501,7,740200
M,201501,8,1088900
M,201502,1,2269850
M,201502,2,1588420
M,201502,3,678210
M,201502,4,2017450
M,201502,5,365660
M,201502,6,545940
M,201502,7,679740
M,201502,8,5300000
M,201503,1,3808260
M,201503,2,1827950
M,201503,3,355800
M,201503,4,2147890
M,201503,5,433830
M,201503,6,227640
M,201503,7,538460
M,201503,8,681900
M,201504,1,4266900
M,201504,2,1574270
M,201504,3,686590
M,201504,4,1992280
M,201504,5,463360
M,201504,6,446010
M,201504,7,474500
M,201504,8,678100
M,201505,1,3819810
M,201505,2,1959550
M,201505,3,714450
M,201505,4,1574360
M,201505,5,408090
M,201505,6,286370
M,201505,7,153700
M,201505,8,1891000
M,201506,1,3136950
M,201506,2,2403840
M,201506,3,504800
M,201506,4,1508980
M,201506,5,404050
M,201506,6,304030
M,201506,7,572600
M,201506,8,709250
M,201507,1,2350850
M,201507,2,1854900
M,201507,3,735030
M,201507,4,1655450
M,201507,5,188350
M,201507,6,260920
M,201507,7,54000
M,201507,8,563000
M,201508,1,3781490
M,201508,2,2037390
M,201508,3,532350
M,201508,4,1427950
M,201508,5,272400
M,201508,6,305860
M,201508,7,352300
M,201508,8,841090
M,201509,1,4410480
M,201509,2,2271430
M,201509,3,411010
M,201509,4,1517050
M,201509,5,619110
M,201509,6,224040
M,201509,7,760200
M,201509,8,910630
M,201510,1,3374010
M,201510,2,2397250
M,201510,3,603530
M,201510,4,1355850
M,201510,5,278730
M,201510,6,420190
M,201510,7,307200
M,201510,8,956200
M,201511,1,3044340
M,201511,2,2334070
M,201511,3,800850
M,201511,4,1976290
M,201511,5,634220
M,201511,6,308030
M,201511,7,456200
M,201511,8,677860
M,201512,1,4234430
M,201512,2,2772570
M,201512,3,597910
M,201512,4,1653450
M,201512,5,773480
M,201512,6,711900
M,201512,7,590400
M,201512,8,1338260
