,성별,구매일자,대분류코드,구매금액
0,F,201401,4,103630030
1,F,201401,5,111023521
2,F,201401,6,80111446
3,F,201401,7,70646888
4,F,201401,8,69543349
5,F,201401,9,41191823
6,F,201401,10,166428219
7,F,201401,11,134293780
8,F,201401,12,196366214
9,F,201401,13,154374840
10,F,201401,14,312755960
11,F,201401,15,68183230
12,F,201401,16,99818950
13,F,201401,17,50910500
14,F,201401,18,95233240
15,F,201401,19,167942080
16,F,201401,20,81322160
17,F,201401,21,36468130
18,F,201401,22,36698140
19,F,201401,23,28244020
20,F,201401,24,24482660
21,F,201401,25,7163869
22,F,201401,26,63953140
23,F,201401,27,19589370
24,F,201401,28,7492010
25,F,201401,29,114453190
26,F,201401,30,60294690
27,F,201401,31,61243960
28,F,201401,32,4540180
29,F,201401,33,69345250
30,F,201401,34,179412598
31,F,201401,35,35394200
32,F,201401,36,5100220
33,F,201401,37,23805300
34,F,201401,38,71465789
35,F,201401,39,12667900
36,F,201401,40,4330400
37,F,201401,41,14413770
38,F,201401,42,8531100
39,F,201401,43,147788412
40,F,201401,44,18594700
41,F,201401,45,33343710
42,F,201401,46,153285099
43,F,201401,47,72753990
44,F,201401,48,126234616
45,F,201401,49,4992800
46,F,201401,50,6622300
47,F,201401,51,34421500
48,F,201401,52,191826702
49,F,201401,53,39408792
50,F,201401,54,51499729
51,F,201401,55,52273186
52,F,201401,56,12053910
53,F,201401,57,15360359
54,F,201401,58,3960505
55,F,201401,59,13161520
56,F,201401,60,2685496
57,F,201401,61,9919458
58,F,201401,62,26051030
59,F,201401,63,13849198
60,F,201402,4,138157898
61,F,201402,5,86533895
62,F,201402,6,45000658
63,F,201402,7,44321158
64,F,201402,8,63085707
65,F,201402,9,12663179
66,F,201402,10,150502686
67,F,201402,11,59009462
68,F,201402,12,103404856
69,F,201402,13,74176140
70,F,201402,14,197050640
71,F,201402,15,51837630
72,F,201402,16,54337780
73,F,201402,17,51151920
74,F,201402,18,88637170
75,F,201402,19,79704110
76,F,201402,20,74750110
77,F,201402,21,33420650
78,F,201402,22,36069850
79,F,201402,23,22037440
80,F,201402,24,34261300
81,F,201402,25,6226840
82,F,201402,26,71895230
83,F,201402,27,19484190
84,F,201402,28,5882650
85,F,201402,29,106377730
86,F,201402,30,60230880
87,F,201402,31,48246520
88,F,201402,32,4558840
89,F,201402,33,63202630
90,F,201402,34,137224440
91,F,201402,35,25527390
92,F,201402,36,4057550
93,F,201402,37,21594100
94,F,201402,38,58377998
95,F,201402,39,14568800
96,F,201402,40,4872400
97,F,201402,41,16580580
98,F,201402,42,9227090
99,F,201402,43,111122183
100,F,201402,44,19446370
101,F,201402,45,37288610
102,F,201402,46,90327583
103,F,201402,47,53857800
104,F,201402,48,93928103
105,F,201402,49,3815700
106,F,201402,50,4227280
107,F,201402,51,42548800
108,F,201402,52,118905476
109,F,201402,53,46675678
110,F,201402,54,35528374
111,F,201402,55,33945976
112,F,201402,56,12876587
113,F,201402,57,10234751
114,F,201402,58,4175197
115,F,201402,59,11929846
116,F,201402,60,2635806
117,F,201402,61,11155778
118,F,201402,62,27741080
119,F,201402,63,9017376
120,F,201403,4,121878709
121,F,201403,5,111315127
122,F,201403,6,63317843
123,F,201403,7,52873777
124,F,201403,8,68437530
125,F,201403,9,16945867
126,F,201403,10,178212893
127,F,201403,11,71651380
128,F,201403,12,118177167
129,F,201403,13,143595310
130,F,201403,14,290609100
131,F,201403,15,90629030
132,F,201403,16,64976480
133,F,201403,17,63478660
134,F,201403,18,86956110
135,F,201403,19,95383570
136,F,201403,20,92232440
137,F,201403,21,42538970
138,F,201403,22,46206690
139,F,201403,23,29295590
140,F,201403,24,42227280
141,F,201403,25,6340052
142,F,201403,26,78029180
143,F,201403,27,23303770
144,F,201403,28,8437480
145,F,201403,29,138311360
146,F,201403,30,48302920
147,F,201403,31,70183720
148,F,201403,32,4498465
149,F,201403,33,72578750
150,F,201403,34,177205550
151,F,201403,35,41960670
152,F,201403,36,9871880
153,F,201403,37,23040400
154,F,201403,38,64925826
155,F,201403,39,13936000
156,F,201403,40,3344500
157,F,201403,41,8972070
158,F,201403,42,6924230
159,F,201403,43,131733094
160,F,201403,44,26011170
161,F,201403,45,43373970
162,F,201403,46,165422862
163,F,201403,47,61716310
164,F,201403,48,112196745
165,F,201403,49,3325550
166,F,201403,50,4654730
167,F,201403,51,50585600
168,F,201403,52,131068080
169,F,201403,53,73496007
170,F,201403,54,49711900
171,F,201403,55,32851619
172,F,201403,56,14622258
173,F,201403,57,14284870
174,F,201403,58,5528748
175,F,201403,59,13931383
176,F,201403,60,2764461
177,F,201403,61,16368595
178,F,201403,62,33042630
179,F,201403,63,10194098
180,F,201404,4,119074970
181,F,201404,5,103611154
182,F,201404,6,48420106
183,F,201404,7,50257976
184,F,201404,8,64442261
185,F,201404,9,18814922
186,F,201404,10,174219230
187,F,201404,11,68153472
188,F,201404,12,129085678
189,F,201404,13,139299630
190,F,201404,14,141052320
191,F,201404,15,110353970
192,F,201404,16,60757090
193,F,201404,17,55102870
194,F,201404,18,81723960
195,F,201404,19,85103670
196,F,201404,20,81006290
197,F,201404,21,32468000
198,F,201404,22,34282450
199,F,201404,23,27772230
200,F,201404,24,21200300
201,F,201404,25,5109256
202,F,201404,26,62637460
203,F,201404,27,21511180
204,F,201404,28,7283080
205,F,201404,29,125075280
206,F,201404,30,53241820
207,F,201404,31,66248350
208,F,201404,32,5148160
209,F,201404,33,67102893
210,F,201404,34,133981720
211,F,201404,35,41038940
212,F,201404,36,8038980
213,F,201404,37,21820200
214,F,201404,38,58705764
215,F,201404,39,21106000
216,F,201404,40,6783700
217,F,201404,41,9022440
218,F,201404,42,4414900
219,F,201404,43,130662022
220,F,201404,44,22920560
221,F,201404,45,43627310
222,F,201404,46,90128796
223,F,201404,47,66623760
224,F,201404,48,105739550
225,F,201404,49,3641600
226,F,201404,50,3968730
227,F,201404,51,57727900
228,F,201404,52,121138114
229,F,201404,53,84715578
230,F,201404,54,44189094
231,F,201404,55,30509179
232,F,201404,56,14845101
233,F,201404,57,12054246
234,F,201404,58,5487448
235,F,201404,59,14128671
236,F,201404,60,2914921
237,F,201404,61,12603522
238,F,201404,62,30012327
239,F,201404,63,10736738
240,F,201405,4,121477580
241,F,201405,5,110994013
242,F,201405,6,58578498
243,F,201405,7,59087789
244,F,201405,8,75515527
245,F,201405,9,17882665
246,F,201405,10,181851528
247,F,201405,11,77084380
248,F,201405,12,175613647
249,F,201405,13,114529890
250,F,201405,14,216243780
251,F,201405,15,141537370
252,F,201405,16,75210600
253,F,201405,17,64494840
254,F,201405,18,78066240
255,F,201405,19,83582260
256,F,201405,20,78122990
257,F,201405,21,37403510
258,F,201405,22,34774250
259,F,201405,23,26114340
260,F,201405,24,22726930
261,F,201405,25,6812058
262,F,201405,26,113175830
263,F,201405,27,23911200
264,F,201405,28,9303730
265,F,201405,29,163587570
266,F,201405,30,59766850
