,성별,구매일자,대분류코드,구매금액
0,F,201401,1,202696886
1,F,201401,2,77681487
2,F,201401,3,163614828
3,F,201401,4,104432648
4,F,201401,5,209838125
5,F,201401,6,40353037
6,F,201401,7,85555160
7,F,201401,8,45102375
8,F,201401,9,26982288
9,F,201401,10,33983150
10,F,201401,11,54783010
11,F,201401,12,64851648
12,F,201401,13,178088590
13,F,201401,14,59916535
14,F,201401,15,152618771
15,F,201401,16,150012230
16,F,201401,17,81820350
17,F,201402,1,126103350
18,F,201402,2,73460115
19,F,201402,3,138265853
20,F,201402,4,62835056
21,F,201402,5,122929216
22,F,201402,6,27221103
23,F,201402,7,81755365
24,F,201402,8,36114653
25,F,201402,9,25053380
26,F,201402,10,21358263
27,F,201402,11,55092790
28,F,201402,12,46561240
29,F,201402,13,143465840
30,F,201402,14,33629860
31,F,201402,15,143230311
32,F,201402,16,103314745
33,F,201402,17,72683150
34,F,201403,1,160250362
35,F,201403,2,63853037
36,F,201403,3,160748113
37,F,201403,4,72965591
38,F,201403,5,148314699
39,F,201403,6,32872678
40,F,201403,7,94944500
41,F,201403,8,46758030
42,F,201403,9,28586510
43,F,201403,10,28780592
44,F,201403,11,65276585
45,F,201403,12,55376840
46,F,201403,13,118577370
47,F,201403,14,42144945
48,F,201403,15,151132982
49,F,201403,16,109333875
50,F,201403,17,73813626
51,F,201404,1,154677435
52,F,201404,2,78995768
53,F,201404,3,160777817
54,F,201404,4,72587194
55,F,201404,5,166600682
56,F,201404,6,32207116
57,F,201404,7,96796410
58,F,201404,8,45354245
59,F,201404,9,29323660
60,F,201404,10,24750487
61,F,201404,11,70317034
62,F,201404,12,60375590
63,F,201404,13,76271840
64,F,201404,14,48148915
65,F,201404,15,181693207
66,F,201404,16,108451216
67,F,201404,17,72591620
68,F,201405,1,168348363
69,F,201405,2,64152869
70,F,201405,3,163326292
71,F,201405,4,70069619
72,F,201405,5,165879534
73,F,201405,6,32106347
74,F,201405,7,102419634
75,F,201405,8,44775060
76,F,201405,9,44044390
77,F,201405,10,28615430
78,F,201405,11,85972344
79,F,201405,12,67862830
80,F,201405,13,101000830
81,F,201405,14,52441380
82,F,201405,15,135932042
83,F,201405,16,105120860
84,F,201405,17,80644120
85,F,201406,1,156852041
86,F,201406,2,77126349
87,F,201406,3,145726071
88,F,201406,4,65175670
89,F,201406,5,156472888
90,F,201406,6,29082654
91,F,201406,7,102038725
92,F,201406,8,43168470
93,F,201406,9,47419960
94,F,201406,10,29653695
95,F,201406,11,92961104
96,F,201406,12,70450106
97,F,201406,13,77819315
98,F,201406,14,64753830
99,F,201406,15,140010827
100,F,201406,16,109390560
101,F,201406,17,80560210
102,F,201407,1,166216785
103,F,201407,2,69124805
104,F,201407,3,143468628
105,F,201407,4,72011329
106,F,201407,5,177967491
107,F,201407,6,33059272
108,F,201407,7,106200255
109,F,201407,8,45237145
110,F,201407,9,57180750
111,F,201407,10,33608975
112,F,201407,11,107392394
113,F,201407,12,70077320
114,F,201407,13,100755640
115,F,201407,14,49798690
116,F,201407,15,126924247
117,F,201407,16,122364650
118,F,201407,17,85134090
119,F,201408,1,162413302
120,F,201408,2,74102703
121,F,201408,3,158798329
122,F,201408,4,81559434
123,F,201408,5,196970429
124,F,201408,6,32025412
125,F,201408,7,106230035
126,F,201408,8,48133240
127,F,201408,9,45070590
128,F,201408,10,31945765
129,F,201408,11,86574890
130,F,201408,12,71912574
131,F,201408,13,101895280
132,F,201408,14,57797275
133,F,201408,15,152855510
134,F,201408,16,126289665
135,F,201408,17,86691810
136,F,201409,1,165638317
137,F,201409,2,73102605
138,F,201409,3,162117668
139,F,201409,4,86073486
140,F,201409,5,205363266
141,F,201409,6,34097408
142,F,201409,7,103057410
143,F,201409,8,47707570
144,F,201409,9,35542980
145,F,201409,10,30023635
146,F,201409,11,107751518
147,F,201409,12,69172020
148,F,201409,13,136747830
149,F,201409,14,65912730
150,F,201409,15,156363364
151,F,201409,16,147114050
152,F,201409,17,88578540
153,F,201410,1,125375285
154,F,201410,2,75391868
155,F,201410,3,165094954
156,F,201410,4,89180351
157,F,201410,5,186195088
158,F,201410,6,34448290
159,F,201410,7,104741470
160,F,201410,8,52500365
161,F,201410,9,35130440
162,F,201410,10,34017800
163,F,201410,11,81704824
164,F,201410,12,64453370
165,F,201410,13,99961650
166,F,201410,14,46445820
167,F,201410,15,209691863
168,F,201410,16,115045650
169,F,201410,17,100772060
170,F,201411,1,102190928
171,F,201411,2,59062840
172,F,201411,3,165546528
173,F,201411,4,94741701
