,성별,구매일자,대분류코드,구매금액
0,F,201401,1,2749310
1,F,201401,2,1632450
2,F,201401,3,716750
3,F,201401,4,1307240
4,F,201401,5,297100
5,F,201401,6,304290
6,F,201401,7,212800
7,F,201401,8,1448850
8,F,201402,1,3762900
9,F,201402,2,1695480
10,F,201402,3,568040
11,F,201402,4,1922850
12,F,201402,5,274010
13,F,201402,6,519430
14,F,201402,7,205600
15,F,201402,8,2212790
16,F,201403,1,3571970
17,F,201403,2,2718560
18,F,201403,3,852730
19,F,201403,4,2032430
20,F,201403,5,620260
21,F,201403,6,546050
22,F,201403,7,568900
23,F,201403,8,1798980
24,F,201404,1,4272850
25,F,201404,2,3398100
26,F,201404,3,752280
27,F,201404,4,1593810
28,F,201404,5,414600
29,F,201404,6,654830
30,F,201404,7,1086800
31,F,201404,8,2212400
32,F,201405,1,4377480
33,F,201405,2,3411460
34,F,201405,3,1322300
35,F,201405,4,2333300
36,F,201405,5,431770
37,F,201405,6,902000
38,F,201405,7,743710
39,F,201405,8,2347800
40,F,201406,1,5328470
41,F,201406,2,3796960
42,F,201406,3,783280
43,F,201406,4,2045050
44,F,201406,5,372660
45,F,201406,6,1465790
46,F,201406,7,464300
47,F,201406,8,2288320
48,F,201407,1,7212380
49,F,201407,2,4485770
50,F,201407,3,1484860
51,F,201407,4,1998810
52,F,201407,5,436040
53,F,201407,6,1568770
54,F,201407,7,316700
55,F,201407,8,2493620
56,F,201408,1,7113890
57,F,201408,2,5751960
58,F,201408,3,1228920
59,F,201408,4,2528100
60,F,201408,5,798990
61,F,201408,6,1194150
62,F,201408,7,730600
63,F,201408,8,2616800
64,F,201409,1,7457170
65,F,201409,2,4599770
66,F,201409,3,1014550
67,F,201409,4,2649290
68,F,201409,5,767520
69,F,201409,6,827600
70,F,201409,7,667200
71,F,201409,8,4089470
72,F,201410,1,7129700
73,F,201410,2,5465640
74,F,201410,3,1231440
75,F,201410,4,3272970
76,F,201410,5,977450
77,F,201410,6,1469810
78,F,201410,7,1899900
79,F,201410,8,3703250
80,F,201411,1,10003800
81,F,201411,2,5352530
82,F,201411,3,1301440
83,F,201411,4,4222470
84,F,201411,5,1002810
85,F,201411,6,1555690
86,F,201411,7,556200
87,F,201411,8,3652710
88,F,201412,1,13276920
89,F,201412,2,5729485
90,F,201412,3,1530370
91,F,201412,4,4228530
92,F,201412,5,2090330
93,F,201412,6,2016360
94,F,201412,7,1265100
95,F,201412,8,6190880
96,F,201501,1,10984460
97,F,201501,2,6546790
98,F,201501,3,2017640
99,F,201501,4,3635760
100,F,201501,5,851990
101,F,201501,6,1521540
102,F,201501,7,503400
103,F,201501,8,4463120
104,F,201502,1,12560330
105,F,201502,2,5812980
106,F,201502,3,1449380
107,F,201502,4,5403940
108,F,201502,5,805120
109,F,201502,6,1968480
110,F,201502,7,1248280
111,F,201502,8,5177990
112,F,201503,1,13308550
113,F,201503,2,6544610
114,F,201503,3,1775770
115,F,201503,4,4661650
116,F,201503,5,775740
117,F,201503,6,1457260
118,F,201503,7,929960
119,F,201503,8,6822600
120,F,201504,1,12650260
121,F,201504,2,6967160
122,F,201504,3,1760890
123,F,201504,4,4744630
124,F,201504,5,603600
125,F,201504,6,1978400
126,F,201504,7,1179600
127,F,201504,8,4066660
128,F,201505,1,12586280
129,F,201505,2,7409780
130,F,201505,3,2655700
131,F,201505,4,3939030
132,F,201505,5,814920
133,F,201505,6,1787890
134,F,201505,7,2428240
135,F,201505,8,5078860
136,F,201506,1,13247920
137,F,201506,2,9710050
138,F,201506,3,2258760
139,F,201506,4,3784590
140,F,201506,5,1171810
141,F,201506,6,1918400
142,F,201506,7,854100
143,F,201506,8,5995240
144,F,201507,1,11822860
145,F,201507,2,10152590
146,F,201507,3,1949600
147,F,201507,4,4234950
148,F,201507,5,1111170
149,F,201507,6,1795330
150,F,201507,7,1562800
151,F,201507,8,4987300
152,F,201508,1,11716300
153,F,201508,2,9579600
154,F,201508,3,1936800
155,F,201508,4,4129870
156,F,201508,5,976680
157,F,201508,6,2442840
158,F,201508,7,836250
159,F,201508,8,5712950
160,F,201509,1,14443960
161,F,201509,2,10227000
162,F,201509,3,2226900
163,F,201509,4,4288220
164,F,201509,5,1485870
165,F,201509,6,2074950
166,F,201509,7,1075180
167,F,201509,8,7188560
168,F,201510,1,12348760
169,F,201510,2,8525870
170,F,201510,3,2048510
171,F,201510,4,4054200
172,F,201510,5,1074090
173,F,201510,6,2671820
174,F,201510,7,677900
175,F,201510,8,6586520
176,F,201511,1,11499040
177,F,201511,2,8973870
178,F,201511,3,2527780
179,F,201511,4,4943040
180,F,201511,5,916190
181,F,201511,6,2519520
182,F,201511,7,1301320
183,F,201511,8,4407850
184,F,201512,1,17220330
185,F,201512,2,10997430
186,F,201512,3,1706890
187,F,201512,4,4476880
188,F,201512,5,2066750
189,F,201512,6,3600170
190,F,201512,7,3125700
191,F,201512,8,10326040
